listing_id,price,title,location,description,contact_info,agency_url,details_url,num_photos,date_added,offer_type,search_url,total_offers
1b173393742263720,269 000 EUR,Продава 2-СТАЕН,"град София, Докторски паметник","74 кв.м, 5-ти ет. от 7, ТЕЦ, Тухла 1955 г., Светъл непреходен 2-стен апартамент в най-престижния ройон на Столицата - Докротски паметник. В непо ..., тел.: 0898 57 48 91",0898 57 48 91,https://almainvest.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b173393742263720&slink=blq5n3&f1=1,14,2025-01-27 06:03:16.458755,Продава,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=blq5n3&f1=1,681
1b173393742263720,269 000 EUR,Продава 2-СТАЕН,"град София, Докторски паметник","74 кв.м, 5-ти ет. от 7, ТЕЦ, Тухла 1955 г., Светъл непреходен 2-стен апартамент в най-престижния ройон на Столицата - Докротски паметник. В непо ..., тел.: 0898 57 48 91",0898 57 48 91,https://avgusta.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b173393742263720&slink=blq5n3&f1=1,14,2025-01-27 06:03:16.459471,Продава,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=blq5n3&f1=1,681
1b173191520062987,300 000 EUR,Продава 2-СТАЕН,"град София, Докторски паметник","78 кв.м, ул. Шейново, 1-ви ет. от 4, ТЕЦ, Тухла 1936 г., Предлагаме Ви отличен апартамент, находящ се в малка тухлена сграда от 40-те години на тихо и комуни ..., тел.: 0896611040",0896611040,https:None,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b173191520062987&slink=blq5n3&f1=1,15,2025-01-27 06:03:16.459759,Продава,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=blq5n3&f1=1,681
1b173738732504173,120 000 EUR,Продава 2-СТАЕН,"град София, Оборище","55 кв.м, Партер от 4, Тухла 1970 г., Титан Пропъртис - офис Черни връх има удоволствието да Ви представи двустаен апартамент в Оборище. М ..., тел.: 0895671248",0895671248,https://titanteam.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b173738732504173&slink=blq5n3&f1=1,7,2025-01-27 06:03:16.460065,Продава,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=blq5n3&f1=1,681
1b167993868590823,145 837 EURЦената е без ДДС,Продава 2-СТАЕН,"град София, Оборище","67 кв.м, 5-ти ет. от 9, ТЕЦ, Тухла 2023 г., Директно от инвеститора!!!Без комисион! На Вашето внимание предлагаме новата ни многофункционална сг ..., тел.: 0888414711",0888414711,https:None,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167993868590823&slink=blq5n3&f1=1,3,2025-01-27 06:03:16.460345,Продава,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=blq5n3&f1=1,681
1b173737616287788,198 000 EUR,Продава 2-СТАЕН,"град София, Оборище","62 кв.м, 2-ри ет. от 5, ТЕЦ, Тухла 2001 г., Локация: на 6 мин. от Президентството, ул. Цар Симеон и ул. Будапеща, Представителни общи части: про ..., тел.: 0887921557",0887921557,https:None,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b173737616287788&slink=blq5n3&f1=1,14,2025-01-27 06:03:16.460664,Продава,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=blq5n3&f1=1,681
1b173737636799185,229 000 EUR,Продава 2-СТАЕН,"град София, Оборище","91 кв.м, 2-ри ет. от 5, ТЕЦ, Тухла 2001 г., Локация: на 6 мин. от Президентството, ул. Цар Симеон и ул. Будапеща, Представителни общи части: про ..., тел.: 0887921557",0887921557,https:None,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b173737636799185&slink=blq5n3&f1=1,7,2025-01-27 06:03:16.460971,Продава,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=blq5n3&f1=1,681
1b171679284687012,96 125 EUR,Продава 2-СТАЕН,"град София, Подуяне","54 кв.м, бул. Ботевградско шосе, Партер от 7, Тухла 2026 г., Инвестиционна компания Юнивърсъл представя: Жилищен комплекс 'Железни врата'. Етап: Акт 14 сграда 4. ..., тел.: 0893614202",0893614202,https://universalbg.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b171679284687012&slink=blq5n3&f1=1,2,2025-01-27 06:03:16.461277,Продава,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=blq5n3&f1=1,681
1b167697329148194,117 670 EUR,Продава 2-СТАЕН,"град София, Подуяне","68 кв.м, бул. Ботевградско шосе, 6-ти ет. от 7, Лок.отопл., Тухла 2026 г., Инвестиционна компания Юнивърсъл представя: Жилищен комплекс  'Железни врата'. Етап: Акт 14 сграда 4 ..., тел.: 0893614202",0893614202,https://universalbg.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167697329148194&slink=blq5n3&f1=1,5,2025-01-27 06:03:16.461557,Продава,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=blq5n3&f1=1,681
1b169648665969268,118 260 EUR,Продава 2-СТАЕН,"град София, Подуяне","66 кв.м, бул. Ботевградско шосе, 2-ри ет. от 7, Тухла 2026 г.,  Инвестиционна компания Юнивърсъл предлага южен апартамент в жилищен комплекс 'Железни врата', наход ..., тел.: 0893614209",0893614209,https://universalbg.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b169648665969268&slink=blq5n3&f1=1,8,2025-01-27 06:03:16.461844,Продава,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=blq5n3&f1=1,681
